subjectcode,subjectname,coursename,coursenumber,coursedescription,corequisitenarrative,prerequisitenarrative,credits,instructor,offered,distribution,crosslistedcoursenarrative,concurrentrequisites,recommendedrequisites,hours
AHSE,Arts Hum Soc Sci Entrepr,"Arts, Humanities, Social Science Foundation Topic",AHSE1199,"Special Topics in Arts, Humanities and Social Science classes (AHSE X199) typically cover a specific topic in Arts, Humanities and Social Science and are intended to enhance and expand the selection of offerings from semester to semester.",,,4 AHSE,,,,,,,4-0-8
AHSE,Arts Hum Soc Sci Entrepr,Products and Markets,AHSE1515,"Entrepreneur: one who owns and manages a business; a person who takes the risk of profit or loss. - O.E.D. The same source also reveals a broader definition found in the French root, entreprendre, which means ""to undertake."" An entrepreneur is defined as one who assumes the opportunity and full responsibility of any pursuit. A champion. <br /><br /><br /><br />In this course, students explore and begin to realize in themselves the entrepreneur in both forms: the practical and the profound. In this foundational course in business and entrepreneurship they will conceive, create and manage a real, profitable business. They will be exposed to traditional business tools such as accounting, marketing and finance as well as the personal and interpersonal tools requisite for high-performance teamwork, including project planning, giving feedback and persuasive pitching. This business experience and its associated challenges will serve as the context in which we hope to develop broader self-awareness, productive self-reflection and courage. Broadly, these skills will apply to the bold imagining and realization of their lives at Olin and beyond.<br /><br />",,,4 AHSE,,,,,,,4-0-8
AHSE,Arts Hum Soc Sci Entrepr,Entrepreneurship Foundation Topic,AHSE1599,Special Topics in Entrepreneurship classes (AHSE X599) typically cover a specific topic in Entrepreneurship and are intended to enhance and expand the selection of offerings from semester to semester.,,,4 AHSE,,,,,,,4-0-8
AHSE,Arts Hum Soc Sci Entrepr,Six Books that Changed the World,AHSE2112,"Why and how do certain books reshape the course of human history? In this course, we will explore six books, selected from different times, societies, and genres, that have had an unquestionably major impact upon the world in which we live. Class meetings will alternate between contextual studies of the historical context of each book (including the author's background, the political and social setting, and other factors) and careful analyses of the works themselves. Our discussions will investigate each book's contemporary and modern impact while also exploring the qualities that caused all of our selections to have such an enduring and global effect. Students will be expected to contribute to class discussions, make presentations, and write a report on an additional book of their choosing. NOTE: this course will be offered during the first half of the semester, will meet twice a week, and will require approximately 12 hours of student effort each week.",,,2 AHSE,,,,,,AHS Foundation,4-0-8
AHSE,Arts Hum Soc Sci Entrepr,Science Fiction and Historical Context,AHSE2114,"Science fiction is a wonderful genre that somehow captures a society's ideals, fears, assumptions, and major challenges. In the same way that a historian attempts to piece together complex cause-effect chains to make sense of the past, science fiction writers project the values, technologies, and beliefs of their own societies into alternate or future realities. Our class will work together to understand the conventions of science fiction and explore science fiction works (books, short stories, film) produced in different times, across various cultures, and in different sub-genres of this field.<br /><br /><br /><br />Students will have the opportunity to analyze different works of science fiction through writings and class discussions, and can also choose to develop a science fiction idea of their own. NOTE: this course will be offered during the second half of the semester, will meet twice a week, and will require approximately 12 hours of student effort each week.<br /><br />",,,2 AHSE,,,,,,AHS Foundation,4-0-8
AHSE,Arts Hum Soc Sci Entrepr,Responsive Drawing and Visual Thinking,AHSE2131,"The course assumes no prior experience in drawing. Students will learn to visualize objects in three-dimensional space and commit them to the two-dimensional space of a page, gaining critical experience with ""idea sketching,"" an ability that can be put to many uses in future courses (e.g. project design). Students will also draw subjects from life, i.e. stationary objects and life models using media including charcoal, graphite, conte, and ink. The emphasis will be realistic depiction as compared to non-objective abstraction. Students will begin with basic exercises in drawing and rapidly move to more complex intensive drawing experiences. Approximately one-third of the classroom time will be used for drawing from a life model. Class discussion and sketchbook homework assignments will be an essential element in the learning process. Homework assignments will include drawing and visual thinking exercises to be completed in personal sketchbooks. Reading selected text material is also part of the homework requirement. Several invited speakers will contribute to the course and provide informal critiques of student work. One field trip is planned to the Fogg Art Museum at Harvard University in Cambridge to view art. Other in-class activities will include participation in discussion of drawings (old master and contemporary) that are presented to illustrate various objectives of classroom work (e.g. use of line to indicate form) and group critique sessions. Assessment will be based on weekly homework assignments, classroom work, and three drawing projects to be completed outside of class.",,,4 AHSE,,,,,,,4-0-8
AHSE,Arts Hum Soc Sci Entrepr,Engineering for Humanity,AHSE2141,"This course introduces students to engineering problem solving, beginning with understanding client needs and ending with implemented, adaptable, adoptable, and sustainable solutions.  This course will draw equally on empathetic and ethnographic methods and on a technical understanding of the problem and solution domains. Over the semester, we will learn about and with our clients; we will identify specific challenges that our clients face; and together with our clients we will develop concrete solutions to address these challenges.  Students will leave Engineering for Humanity with a grounded understanding of the engineering problem solving process, experience in participant-observer fieldwork, and hopefully a feeling of satisfaction at having made a concrete difference in the lives of members of our community.  <br /><br /><br /><br />The projects will be specific service projects that students identify and design while working with senior citizens in surrounding communities. For example, students might design a device to help someone who has difficulty reaching up to change a light bulb, something to help hold a newspaper steady with shaky hands, or something to enable someone to get clothes out of a clothing dryer that is difficult to stoop down to reach. Some sessions of the course will be devoted to co-design with the client population or to team meetings. Other sessions involving guest speakers and fieldtrips, others with course discussion of topics relevant to aging. Students must simultaneously enroll in AHSE2141 and ENGR2141 for a total of 4 credit hours.<br /><br /><br /><br />",,,2 AHSE,,,,,ENGR2141,,6-0-6
AHSE,Arts Hum Soc Sci Entrepr,Six Microbes that Changed the World with Laboratory,AHSE2150,"Penicillium.  Vibrio cholerae.  Escherichia coli.  Yeast.  The Archaea.  Microbes surround us, and impact our lives, our health, our societies, and our environment.  Research with microbes, the smallest of all living creatures, has enabled discovery and understanding of the fundamental workings of life, opens up rich historical narratives of diseases and cures, and may provide sustainable solutions to problems we face from bioremediation to bioenergy.  We will use six influential microbes as a window into a rich study of the interactions between science and societal context.  This course connects biological concepts and historical knowledge through discussions, integrated assignments, presentations, and hands-on laboratory activities. Let?s explore the thrill of biology and history, together.",,,4 AHSE,,,,,SCI1250,,
AHSE,Arts Hum Soc Sci Entrepr,Constructing and Performing the Self,AHSE2155,"In this course, theatrical and psychological approaches will be purposely inter-mingled: the questions we will ask and the answers we will derive will be informed equally by each. You will see, on a daily basis, how each field informs, supports, and speaks to the other as you oscillate between the roles of scholar, writer, actor, and critic. While we will have some class sessions and assignments explicitly grounded in only one field to build your fluency speaking their languages, the major activities of the semester will require both. The final deliverable for the course will be a short, personal monologue, informed by the scientific literature on identity, which you will write and then perform as part of a fully-mounted theatrical production in the Studio Theater at Babson. No playwriting or acting experience is necessary.<br /><br /><br /><br />Registration note: This course brings together the psychological study of identity and the theater of solo performance to ask one of the most fundamental of all questions: who am I? The instructors received the inaugural BOW Curriculum Innovation Fellowship to develop the course, which will include students from all three colleges. <br /><br />",,,4 AHSE,,,,,,,
AHSE,Arts Hum Soc Sci Entrepr,"The Intersection of Biology, Art and Technology (IBAT)",AHSE2160,"This project-based course will encourage participants to cross boundaries between art, biology and technology with hands-on projects inspired by contemporary and historical work in these fields. How might biology inform art practice and how might art inform biology? What role does technology play in advancing or setting back each field and how might art and biology inspire technological breakthroughs? What are the implications of being able to change the genome of an organism? These are just some of the questions we will pursue during this course. Students will conduct a CRISPR genome editing experiment and consider the ethical implications of such work. We will also work with the visualization technologies such as the scanning electron microscope (SEM). Studio work will employ a variety of technologies old and new such as 3D printing in preparation for final student-directed projects that are informed by biology, art and technology. The literature in the area of art and science, particularly with respect to biology has grown considerably and we will delve into a variety of written works, films and video resources, and listen first-hand to practitioners in these areas about the challenges and rewards of interdisciplinary work in fields that most would regard as unrelated. The goal by the end of the course is to acquire an attitude that allows fluid movement from one field to the other in thinking and doing so as to garner creative strength not possible from study of each field alone.<br /><br />",,,4 AHSE,,,,,SCI1260,,
AHSE,Arts Hum Soc Sci Entrepr,Teaching and Learning in Undergraduate Science and Engineering,AHSE2170,"This course will examine select topics in teaching and learning in undergraduate science, technology, engineering, and mathematics (STEM) courses. The goal of the course is to help participants become effective tutors, teaching assistants, mentors, and future instructors in these fields through a deep examination of teaching and learning in STEM courses. In a seminar format, participants will discuss research on best practices in pedagogy and curriculum design, cognition and learning, student classroom experiences, diversity, and assessment. Students will gain experience in instructional design, pedagogy, and assessment, and will develop a teaching portfolio. (Note: While the course readings are largely on research in science and engineering education, the course will touch on issues in mathematics education, and many course concepts can be extended to mathematics and technology instruction. As well, the theoretical and practical portion of the class may be extended to the K-12 domain.)",,,4 AHSE,,,,,,must have successfully completed the AHS foundation requirement,3-0-9
AHSE,Arts Hum Soc Sci Entrepr,Narrative Psychology,AHSE2180,"Humans are natural storytellers. Indeed, it has been suggested that the natural mode of human thought takes a narrative form. This course will present an examination of the scientific study of humans? approach to meaningmaking through the crafting and telling of personal stories. The course will include consideration of the ways in which we create meaning out of our experiences with a special emphasis on identity development, drawing on scientific research from personality, developmental, and clinical psychology.<br /><br />",,,4 AHSE,,,,,,,4-0-8
AHSE,Arts Hum Soc Sci Entrepr,"Special Topics in Arts, Humanities and Social Science",AHSE2199,"Special Topics in Arts, Humanities and Social Science classes (AHSE X199) typically cover a specific topic in Arts, Humanities and Social Science and are intended to enhance and expand the selection of offerings from semester to semester.",,,Variable Credits AHSE,,,,,,,
AHSE,Arts Hum Soc Sci Entrepr,Iterate,AHSE2515,"This course is about exploring the potential of ideas and their ability to create value ?in the wild?. If you have the seed of an idea, an inkling, or even are just curious, this class offers an explicit structure for you to test and validate your ideas. Each offering of the course will consist of three two-week sprints. During each, you will be compelled to test a different question, hypothesis or assumption about your idea by getting in front of real people. Outside resources, mentors and advisors will be substantively engaged based upon the specific needs of each project.<br /><br /><br /><br />Students may enter as either individuals or teams. You don?t have to have a pre-existing idea or business before the course. This is a 2-credit course and may be taken multiple times for full credit. Four credits of this course may also be used to satisfy the project requirement as part of an entrepreneurship concentration.",,AHSE1515,2 AHSE,,,,,,,4-0-8
AHSE,Arts Hum Soc Sci Entrepr,Iterate,AHSE2515A,"This course is about exploring the potential of ideas and their ability to create value ?in the wild?. If you have the seed of an idea, an inkling, or even are just curious, this class offers an explicit structure for you to test and validate your ideas. Each offering of the course will consist of three two-week sprints. During each, you will be compelled to test a different question, hypothesis or assumption about your idea by getting in front of real people. Outside resources, mentors and advisors will be substantively engaged based upon the specific needs of each project.<br /><br /><br /><br />Students may enter as either individuals or teams. You don?t have to have a pre-existing idea or business before the course. This is a 2-credit course and may be taken multiple times for full credit. Four credits of this course may also be used to satisfy the project requirement as part of an entrepreneurship concentration.",,,2 AHSE,,,,,,,4-0-8
AHSE,Arts Hum Soc Sci Entrepr,Special Topics in Business and Entrepreneurship,AHSE2599,Special Topics in Entrepreneurship classes (AHSEX599*) typically cover a specific topic in Entrepreneurship and are intended to enhance and expand the selection of offerings from semester to semester.,,AHSE1515,Variable Credits AHSE,,,,,,,
AHSE,Arts Hum Soc Sci Entrepr,Advanced Digital Photography,AHSE3130,"In this project-based course, students will develop a personal photographic point of view matched with consistently well-crafted imagery informed by the work of leading contemporary photographers. While communication with visual images is paramount, technical issues will be addressed in some depth. For example, there will be instruction and practice with image capture and editing including High Dynamic Range (HDR) exposure and processing, color management methods and printing, Adobe Lightroom/Photoshop tools and techniques, graphic design and book production methods. Initial projects will stimulate creative thinking and group critiques will help monitor progress and inspire new directions. The culminating project will be the design and production of a photography-based book by each member of the class. A critical awareness of the medium of fine art photography will be fostered through selected readings, discussions, and visits to galleries and museums.",,,4 AHSE,,,,,,,4-0-8
AHSE,Arts Hum Soc Sci Entrepr,Arts Humanities Social Sciences Capstone Preparatory Workshop,AHSE3190,"This course offers the opportunity to begin researching your proposed AHS Capstone project topic, plan logistics, and write a proposal prior to enrolling in the AHS Capstone project. Students will work on a series of tasks throughout this semester in an independent manner, and can solicit feedback from other students in this course, Capstone teaching assistants, and Capstone teaching staff. Tasks include identification of the project area/topic and mentor, production of a partial annotated bibliography (that contextualizes each source with respect to one or more scholarly disciplines), and a detailed Capstone proposal (which includes a project statement, thesis, plan of work, etc.).",,,1 AHSE,,,,,,,0-0-3
AHSE,Arts Hum Soc Sci Entrepr,"Special Topics in Arts, Humanities and Social Sciences",AHSE3199,"Special Topics in Arts, Humanities and Social Science classes (AHSE X199) typically cover a specific topic in Arts, Humanities and Social Science and are intended to enhance and expand the selection of offerings from semester to semester.",,,Variable Credits AHSE,,,,,,,
AHSE,Arts Hum Soc Sci Entrepr,Launch,AHSE3515,"This course emphasizes advancing your product, business, creative and impact ideas by seeking recognition and support from external stakeholders. Every student or team will apply to pitch their idea at the Babson B.E.T.A. Challenge. In addition, students will also be encouraged and supported in their efforts to apply to early stage funding sources such as Rough Draft Ventures and accelerators such as MassChallenge.<br /><br /><br /><br />Students may take this course as either individuals or teams. A pre-existing idea or business isn?t required, but is recommended. Each student must be fully committed to reaching the course milestones, including application and submission to external competitions. Outside resources, mentors and advisors will be substantively engaged based upon the specific needs of each project.<br /><br /><br /><br />This is a 4-credit course and may be taken multiple times. It may also be used to satisfy the entrepreneurship project requirement of the entrepreneurship concentration.<br /><br />",,AHSE1515,4 AHSE,,,,,,,4-0-8
AHSE,Arts Hum Soc Sci Entrepr,Special Topics in Business and Entrepreneurship,AHSE3599,Special Topics in Entrepreneurship classes (AHSE X599) typically cover a specific topic in Entrepreneurship and are intended to enhance and expand the selection of offerings from semester to semester.,,,Variable Credits AHSE,,,,,,,
AHSE,Arts Hum Soc Sci Entrepr,Arts Humanities Social Sciences Capstone Project,AHSE4190,"The AHS Capstone is an advanced, self-designed AHS project that builds upon a student's prior experience in one or more AHS disciplines. Students concentrating in the Arts, Humanities and Social Sciences must complete either a 12 credit concentration or an 8 credit concentration with an AHS Capstone in order to graduate. AHS Capstones must be proposed to the AHS Committee and approved by the end of the academic year prior to the Capstone except in extenuating circumstances. Additional information on the AHS Capstone is available at http://ahs.olin.edu/. AHS Capstone students will complete a proposal, a journal, a disciplinary deliverable, an analysis of their deliverable, and a presentation. Class sessions will vary between meetings of the entire class, small group workshops, and individual meetings. Olin strongly recommends that all AHS Capstone students first complete the AHS Capstone Preparatory Seminar. Please contact the AHS Committee at ahs@olin.edu with any questions.<br /><br />",,AHSE3190,4 AHSE,,,,,,,4-0-8
AHSE,Arts Hum Soc Sci Entrepr,"Special Topics in Arts, Humanities and Social Sciences",AHSE4199,"Special Topics in Arts, Humanities and Social Science classes (AHSE X199) typically cover a specific topic in Arts, Humanities and Social Science and are intended to enhance and expand the selection of offerings from semester to semester.",,,Variable Credits AHSE,,,,,,,
ENGR,Engineering,Curriculum Innov Experiment: Quantitative Engineering Analysis I,CIE2019A,"The application of quantitative analysis of mathematical models and/or data can enable, improve, and speed up the engineering design process. Using quantitative analysis to answer engineering questions, you will be able to make the choices necessary to successfully complete an engineering design. Whether you are selecting the best part from a catalog, choosing an appropriate material, sizing a component, determining the effect of certain influences on your design, or optimizing your design within a parameter space, you often need to obtain (through experiment or calculation) and interpret quantitative information to inform your decisions. There are many different approaches to getting and interpreting the data you need: you may conduct an experiment, do a rough estimation, perform a detailed calculation based on mathematical models, or create a computer simulation. If you want to engineer effectively, you must be able to choose and use appropriate quantitative tools for a given situation.<br /><br /><br /><br />In this class, you will be introduced to various approaches to perform quantitative engineering analysis through real-world examples. You will learn how to select between different tools and different approaches within the context of an engineering challenge, how to use many different tools for quantitative analysis, and how to acquire new tools on your own in the future.<br /><br /><br /><br />Content & Credit Distribution Breakdown: 4 MTH (Multi-variable Calc, Linear Algebra), 3 SCI (Physics), 1 ENGR<br /><br /><br /><br />Registration note: Enrolling in this experimental course requires completing the Quantitative Engineering Analysis sequence with Quantitative Engineering Analysis II in the fall 2019 semester. <br /><br />",,ENGR1125 AND ENGR1200 AND MTH1111,8 ENGR,,,,,,,
ENGR,Engineering,Curriculum Innovation Prototype: Quantitative Engineering Analysis II,CIE2019B,"Quantitative Engineering Analysis II (QEA II) is the second course in the two-course, 12 credit, QEA sequence. The course will revisit, reinforce, and build upon the contextualized math, science, and engineering tools and skills developed during the first semester of the course. Conceptual material in QEA II will draw from topics including ordinary differential equations, Laplace and Fourier transforms, equations of motion, linear systems theory, and linear control systems. QEA II will endeavour to place this foundational material in the broader engineering context, drawing connections to relevant examples and applications in engineering and beyond. The course will teach students how to select the appropriate set of tools and techniques for a given situation, ask critical questions about the consequences of their work, and develop the skills needed to acquire new knowledge beyond the course material. <br /><br /><br /><br />Registration notes:  Note: Quantitative Engineering Analysis II is a 4 credit course distributed as 2 MTH, 1 ENGR, and 1 SCI.  This two-class, 12-credit sequence is a designated alternative for the following courses: Linearity 1 and Linearity 2, and the Physics Foundation course. Upon successful completion of both courses, the final credit distribution earned is 6 MTH, 4 SCI, 2 ENGR. Open only to students who took CIE 2019A in Spring 2019.",,,4 ENGR,,,,,,,
ENGR,Engineering,"Introduction to Sensors, Instrumentation and Measurement",ENGR1125,"Conducting experiments and making measurements is an essential aspect of all branches of science and engineering. Nearly all of our current quantitative understanding of the natural and engineered world has come from the interplay between theory and measurements. Models and simulations of systems require experimental validation and performance of engineered systems must not only be predicted, but also measured and tested. In this course we will learn the basic tools of making physical measurements and conducting experiments. We will collect data, analyze data, conduct basic error analysis, and design experimental systems. Using inexpensive modern sensors, we will build the necessary supporting electronics and learn to collect data with computer based data acquisition systems. The first part of the course will focus on individual work and students will conduct labs on basic electrical, mechanical and environmental measurements. The later part of the course will involve a team project that involves designing and executing an experiment that involves measurement, data acquisition and data analysis.",,,4 ENGR,,,,,,,
ENGR,Engineering,Special Topics in Engineering,ENGR1199,Special Topics in Engineering classes (ENGR X199) typically cover a specific topic in Engineering and are intended to enhance and expand the selection of offerings from semester to semester.,,,Variable Credits ENGR,,,,,,,
ENGR,Engineering,Design Nature,ENGR1200,"We take nature, an important source of inspiration and understanding, as a theme and develop bioinspired ideas into functional prototypes. Our focus is on the general principles and methods that shape the practice of engineering design. Students complete individual and team projects in a studio environment where we seek to develop a shared practice and understanding of engineering design. Students also gain experience in visualization, experimentation, estimation, fabrication, and presentation as they relate to designing.",,,4 ENGR,,,,,,,6-0-6
ENGR,Engineering,Fundamentals of Machine Shop Operations,ENGR1330,"This course covers the fundamentals of machine tool operations, classical machining techniques, and CAD methods. Students will learn principles of technical drawing, fabrication and assembly of mechanical systems, how to interpret and establish appropriate design requirements to make parts to specification and how to inspect parts to ensure that they meet specification. Students will come away with a sound understanding of drawing interpretation and creation, machine shop safety, bench work, measurement, part layout, and machine setup, operation and maintenance.<br /><br />Assigned projects will involve significant machining time to fabricate mechanical components and a working mechanical system (e.g., tesla turbine).<br /><br />",,ENGR1200,4 ENGR,,,,,,,4-4-4
ENGR,Engineering,Principles of Engineering,ENGR2110,"Through a significant project experience, students will learn to integrate analysis, qualitative design, quantitative optimization, experiments, and simulations to improve their ability to engineer real systems. In each section of the course, students will work in small multidisciplinary teams to design and to build a mechatronic system of their own choosing. Each project must include both a nontrivial mechanical system design and a nontrivial electronic system design involving both hardware and software components. Projects will be subject to realistic materials, process, and budgetary constraints.",,ENGR1125,4 ENGR,,,,,,,4-4-4
ENGR,Engineering,Engineering for Humanity,ENGR2141,"This course introduces students to engineering problem solving, beginning with understanding client needs and ending with implemented, adaptable, adoptable, and sustainable solutions.  This course will draw equally on empathetic and ethnographic methods and on a technical understanding of the problem and solution domains. Over the semester, we will learn about and with our clients; we will identify specific challenges that our clients face; and together with our clients we will develop concrete solutions to address these challenges.  Students will leave Engineering for Humanity with a grounded understanding of the engineering problem solving process, experience in participant-observer fieldwork, and hopefully a feeling of satisfaction at having made a concrete difference in the lives of members of our community.  <br /><br /><br /><br />The projects will be specific service projects that students identify and design while working with senior citizens in surrounding communities. For example, students might design a device to help someone who has difficulty reaching up to change a light bulb, something to help hold a newspaper steady with shaky hands, or something to enable someone to get clothes out of a clothing dryer that is difficult to stoop down to reach. Some sessions of the course will be devoted to co-design with the client population or to team meetings. Other sessions involving guest speakers and fieldtrips, others with course discussion of topics relevant to aging. Students must simultaneously enroll in AHSE2141 and ENGR2141 for a total of 4 credit hours.<br /><br />",,,2 ENGR,,,,,AHSE2141,,6-0-6
